lst,epoch,total_staked,daily_stake,daily_unstake,daily_net,tvl_sol
mSOL Liquid,731,5254207.92428165,-199786.634371353,193141.873430112,-6644.760941241,5255453.26128907
mSOL Native,731,3008553.93545507,-44079.733283979,101221.677369262,57141.944085283,3018750.58491939
bSOL,731,1188014.43608384,-12438.16039641,45245.32714187,32807.16674546,1188017.76224
jSOL,731,982014.372886399,-38796.724359501,7095.741341584,-31700.983017917,982273.06568729
mrgnLST,731,219321.872202191,0.0,435.984287517,435.984287517,219372.693950772
stSOL,731,58173.773954552,0.0,23.213369399,23.213369399,58475.005717658
scnSOL,731,3.39552265,0.0,0.00137418,0.00137418,37.734489534
jito,730,13540340.7220912,-145512.101345924,335149.957832976,189637.856487052,13545927.3270396
mSOL Liquid,730,5263578.67501084,-116290.678876489,130836.895781554,14546.216905065,5265630.20871905
mSOL Native,730,3025268.78990782,-36956.444597071,156315.321331824,119358.876734753,3036093.29039475
bSOL,730,1175583.56958591,-27427.865811654,24274.523776418,-3153.342035236,1175934.91177892
jSOL,730,1027712.07325339,-9777.62595762,59728.625320728,49950.999363108,1028080.67320932
mrgnLST,730,218885.891181476,-1559.506901238,8.046791998,-1551.46010924,218975.034799275
stSOL,730,58150.560585153,-291.653047368,11.216632569,-280.436414799,58443.065373324
scnSOL,730,3.39414847,0.0,0.001341059,0.001341059,37.733055151
jito,729,13250006.7302308,-1180224.44131902,19629.700139195,-1160594.74117983,13252843.8606902
mSOL Liquid,729,5338384.5127904,-28704.497001164,120458.862094547,91754.365093383,5339686.64084129
mSOL Native,729,2969081.17210871,-22507.85122072,104740.964523254,82233.113302534,2978325.48810491
bSOL,729,1178737.02092161,-20052.194583828,35267.870541191,15215.675957363,1178918.69451549
jSOL,729,982609.071482614,-14188.582333979,54187.867403059,39999.28506908,982773.0586141
mrgnLST,729,220437.354552637,-11645.247663828,6209.81241883,-5435.435244998,220484.406407096
stSOL,729,58430.996999952,-589.360268732,11.146154641,-578.214114091,58708.621673624
scnSOL,729,3.392807411,0.0,0.001354172,0.001354172,37.730785335
